activity_intensity,mask_type,pm25,pm10,co,no2,rmv_liters_per_min,duration_minutes,mask_efficiency,hour,temperature,humidity,wind_speed,inversion_factor,cumulative_toxic_load_score,pm25_retained_micrograms,co_blood_saturation_estimate
resting,n95,51.63,97.55,1.28,42.25,6.76,21.5,0.95,20.59,22.99,72.51,3.05,0.515,1.89,0.38,0.11
moderate_run,cloth,168.3,251.2,4.24,62.72,40.45,39.5,0.3,23.85,21.77,83.53,0.57,0.875,85.16,188.47,0.5
moderate_run,n95,32.82,39.64,2.56,24.39,35.56,46.2,0.95,17.23,29.0,63.76,4.91,0.204,2.17,2.7,0.0
resting,medical,163.38,226.57,0.92,90.3,6.66,76.7,0.6,3.79,21.19,86.23,1.12,0.938,26.32,33.38,0.07
moderate_run,n95,9.66,15.82,3.94,95.86,37.2,81.4,0.95,15.36,29.88,47.5,5.51,0.126,9.44,1.46,0.06
high_intensity_run,medical,28.75,55.71,2.71,18.79,55.99,17.7,0.6,15.58,31.82,55.09,5.6,0.123,18.82,11.42,0.01
moderate_run,cloth,119.49,148.97,6.29,82.28,40.3,42.0,0.3,1.59,19.61,87.44,1.12,0.924,81.01,141.56,0.67
light_jog,none,83.41,139.01,1.32,42.36,25.93,27.9,0.0,19.4,26.0,68.72,3.72,0.392,48.34,60.41,0.12
high_intensity_run,cloth,11.68,11.68,11.65,40.01,52.84,53.0,0.3,15.51,32.25,52.07,6.32,0.087,91.11,22.92,2.39
light_jog,none,37.23,49.61,4.79,66.42,23.14,129.2,0.0,0.38,20.47,84.25,1.74,0.845,94.36,111.32,1.41
high_intensity_run,cloth,43.98,74.12,4.06,18.74,55.8,71.7,0.3,18.92,27.43,68.55,2.77,0.406,89.25,123.11,1.09
light_jog,none,29.53,40.19,7.88,22.92,22.94,55.8,0.0,11.51,31.66,63.13,4.63,0.285,69.68,37.79,0.78
moderate_run,none,132.64,240.1,4.17,46.17,43.45,64.9,0.0,4.15,23.21,77.8,0.2,0.977,100.0,373.87,1.09
moderate_run,n95,65.57,111.48,2.23,110.21,39.63,91.3,0.95,2.46,20.37,88.2,0.85,0.954,21.62,11.86,0.15
light_jog,medical,16.65,19.5,5.91,27.93,24.35,68.1,0.6,13.17,29.69,50.26,5.74,0.147,34.38,11.04,0.4
high_intensity_run,medical,50.27,89.19,2.41,42.89,57.03,19.9,0.6,14.94,29.95,48.9,6.01,0.099,25.82,22.8,0.19
light_jog,cloth,56.62,98.36,5.64,36.23,24.85,104.5,0.3,17.81,29.34,51.61,5.36,0.21,84.42,102.93,0.98
resting,medical,32.55,59.26,3.83,54.95,6.07,44.5,0.6,2.64,21.31,89.19,1.01,0.948,7.4,3.52,0.12
light_jog,n95,33.07,51.22,16.87,50.76,22.88,51.8,0.95,21.97,23.2,76.96,1.9,0.68,11.61,1.96,0.0
moderate_run,medical,38.93,60.0,3.72,29.93,43.38,81.3,0.6,23.22,22.14,81.26,1.63,0.783,57.86,54.95,0.61
high_intensity_run,medical,105.01,188.29,2.0,35.17,55.37,125.7,0.6,10.42,29.48,64.17,4.68,0.357,92.31,292.39,0.57
high_intensity_run,cloth,60.17,92.95,5.12,40.42,47.6,32.0,0.3,5.22,23.17,80.21,0.95,0.903,59.12,64.15,0.59
light_jog,cloth,16.81,25.74,2.9,49.82,25.7,78.8,0.3,3.89,21.46,83.91,1.88,0.898,50.31,23.85,0.39
moderate_run,medical,21.64,30.03,1.63,24.81,38.21,30.8,0.6,18.72,26.74,58.75,4.57,0.303,16.34,10.18,0.11
light_jog,n95,95.76,179.99,10.2,151.11,23.25,49.4,0.95,4.3,21.59,81.21,2.31,0.867,7.63,5.49,0.11
moderate_run,cloth,34.69,73.68,1.22,13.32,36.34,15.6,0.3,18.1,27.01,67.27,3.95,0.296,12.27,13.8,0.03
high_intensity_run,cloth,22.75,33.26,6.5,14.48,59.4,30.9,0.3,19.06,27.99,68.08,3.14,0.398,55.83,29.22,0.7
moderate_run,cloth,34.25,63.41,8.94,46.62,33.71,47.9,0.3,17.69,29.07,64.92,4.36,0.253,69.61,38.73,0.84
moderate_run,cloth,68.29,122.62,2.07,52.8,37.32,57.5,0.3,14.44,32.15,48.76,6.22,0.092,72.06,102.63,0.27
moderate_run,n95,138.14,223.42,3.15,83.53,40.38,55.7,0.95,14.72,32.28,53.76,6.47,0.077,20.27,15.53,0.0
high_intensity_run,medical,60.27,82.61,2.22,43.49,61.94,73.2,0.6,0.5,20.79,90.82,1.36,0.87,74.56,109.31,0.31
moderate_run,cloth,75.48,120.8,8.1,46.32,41.77,33.7,0.3,7.28,26.57,75.71,3.12,0.675,70.0,74.48,0.85
light_jog,cloth,55.73,76.22,1.54,65.42,23.31,39.9,0.3,23.34,21.44,90.13,2.09,0.768,37.99,36.26,0.22
moderate_run,cloth,68.22,106.12,7.69,113.36,44.89,41.0,0.3,23.12,21.85,84.73,1.4,0.788,83.92,87.99,0.88
resting,none,29.43,55.48,3.37,19.31,6.24,35.3,0.0,20.91,26.17,74.26,3.54,0.516,13.26,6.48,0.17
light_jog,cloth,134.79,201.41,2.01,52.21,25.53,24.0,0.3,6.6,26.12,67.05,3.79,0.687,42.05,57.89,0.06
resting,n95,49.51,91.07,2.52,77.82,7.27,44.7,0.95,3.9,20.71,87.48,0.67,0.958,0.04,0.8,0.0
moderate_run,medical,27.77,39.93,4.91,36.22,37.18,66.5,0.6,21.26,23.44,78.24,2.54,0.594,50.09,27.48,0.47
moderate_run,none,34.56,61.16,1.54,58.5,42.23,51.2,0.0,21.28,23.48,80.49,1.85,0.629,73.83,74.74,0.25
light_jog,medical,80.3,136.14,5.13,30.74,23.97,32.7,0.6,21.12,24.81,72.02,2.2,0.599,27.77,25.14,0.12
moderate_run,medical,31.43,61.79,3.56,82.71,42.22,45.2,0.6,19.73,26.18,68.59,3.91,0.406,48.39,23.98,0.36
high_intensity_run,none,155.91,201.96,3.01,17.75,46.91,31.4,0.0,23.8,18.87,78.74,0.39,0.881,84.69,229.88,0.43
high_intensity_run,medical,63.87,116.44,4.11,31.22,56.47,58.4,0.6,11.45,32.06,49.4,5.0,0.27,73.49,84.2,0.53
moderate_run,medical,106.97,207.36,2.3,73.05,38.68,67.8,0.6,3.02,21.19,89.42,1.72,0.914,75.68,112.19,0.2
light_jog,n95,34.63,49.35,2.45,31.34,27.3,68.7,0.95,18.65,29.45,68.85,4.5,0.302,2.41,3.25,0.0
high_intensity_run,none,31.23,40.58,2.3,63.25,54.81,37.4,0.0,19.09,29.03,70.95,4.55,0.328,73.04,64.05,0.44
light_jog,none,51.99,78.33,1.37,43.98,27.5,31.8,0.0,9.22,28.12,66.09,3.51,0.507,47.07,45.53,0.17
light_jog,cloth,26.72,40.06,2.78,53.72,26.02,73.2,0.3,21.58,23.91,85.4,2.54,0.618,56.17,35.62,0.37
high_intensity_run,none,48.88,66.26,0.85,44.05,54.44,35.7,0.0,13.83,33.2,50.45,7.13,0.058,70.14,95.03,0.2
moderate_run,cloth,112.34,197.98,2.76,51.06,42.52,44.8,0.3,3.92,19.28,89.36,0.91,0.946,85.69,149.66,0.19
moderate_run,n95,37.7,61.01,1.09,17.35,42.54,50.9,0.95,22.21,22.29,74.58,1.84,0.702,1.89,4.08,0.0
moderate_run,none,59.08,106.7,1.31,94.7,41.51,42.6,0.0,12.96,31.71,40.09,6.26,0.129,79.88,104.51,0.16
moderate_run,cloth,76.0,123.4,2.15,120.45,32.66,63.1,0.3,1.71,21.12,86.02,0.47,0.96,81.85,109.66,0.32
light_jog,n95,123.49,196.13,5.34,79.49,23.03,16.9,0.95,1.26,19.47,87.18,1.48,0.895,0.0,2.4,0.04
light_jog,cloth,174.61,341.46,2.09,42.6,27.77,55.3,0.3,1.18,19.28,88.52,0.2,0.957,84.95,187.78,0.26
light_jog,cloth,64.91,110.54,1.15,44.82,22.49,26.2,0.3,15.1,31.23,52.0,4.44,0.178,26.18,26.76,0.02
light_jog,medical,58.81,88.06,2.95,17.63,26.76,33.4,0.6,23.78,21.55,86.5,1.6,0.82,16.8,21.02,0.11
high_intensity_run,none,88.97,123.33,10.95,14.18,58.11,47.3,0.0,17.74,29.26,66.94,4.3,0.259,98.6,244.45,2.9
light_jog,none,51.06,71.82,1.02,174.7,23.55,14.1,0.0,20.0,24.26,72.95,3.16,0.464,29.73,16.89,0.03
moderate_run,medical,53.8,93.51,6.51,24.43,33.62,38.6,0.6,4.12,19.4,82.23,1.9,0.892,38.4,27.95,0.16
high_intensity_run,cloth,28.48,61.47,3.57,28.85,52.5,34.8,0.3,17.5,29.81,49.0,5.4,0.192,47.04,36.43,0.46
high_intensity_run,none,55.56,89.54,14.72,47.16,64.14,39.9,0.0,20.62,25.24,68.6,2.36,0.552,97.97,142.17,3.54
moderate_run,none,87.09,153.2,3.87,48.75,37.24,33.7,0.0,19.72,26.47,74.05,4.0,0.402,76.18,109.21,0.54
moderate_run,n95,23.57,36.96,3.03,36.66,37.46,44.9,0.95,11.19,29.89,54.63,5.18,0.278,3.31,1.98,0.0
high_intensity_run,none,30.21,39.91,4.14,41.48,50.61,30.7,0.0,4.09,21.82,88.08,1.62,0.907,59.7,47.0,0.57
moderate_run,medical,21.32,36.26,2.9,34.91,43.89,41.7,0.6,18.51,28.72,65.72,4.44,0.296,30.64,15.59,0.25
high_intensity_run,cloth,110.95,172.61,6.27,97.15,53.93,47.2,0.3,22.87,22.3,82.07,0.89,0.797,93.54,197.79,1.04
high_intensity_run,medical,83.11,115.27,2.84,78.02,52.25,74.7,0.6,3.07,20.68,86.95,0.67,0.966,84.49,129.69,0.45
high_intensity_run,none,104.01,202.02,20.0,54.28,61.22,83.8,0.0,17.05,32.11,54.77,3.8,0.252,100.0,533.36,9.35
light_jog,none,29.14,44.08,4.98,10.51,26.16,17.9,0.0,16.67,29.36,65.13,5.52,0.152,23.44,13.63,0.24
moderate_run,cloth,25.23,31.63,3.0,59.45,37.06,77.9,0.3,21.1,23.79,71.3,3.03,0.557,68.64,50.96,0.51
light_jog,medical,160.5,234.97,3.36,55.45,22.55,23.9,0.6,5.06,21.42,87.03,1.34,0.891,27.2,34.66,0.05
moderate_run,none,29.92,43.96,3.06,26.48,43.71,41.9,0.0,19.19,28.77,69.54,3.96,0.365,66.37,54.75,0.43
high_intensity_run,cloth,94.14,145.99,3.87,154.42,55.07,14.7,0.3,0.09,20.28,88.27,0.72,0.881,59.57,53.47,0.14
moderate_run,cloth,20.1,35.54,4.71,15.51,35.04,10.0,0.3,19.05,26.53,65.08,4.87,0.31,14.12,4.94,0.0
moderate_run,none,71.55,102.37,5.01,51.18,34.29,125.0,0.0,0.67,20.24,80.99,0.38,0.927,92.58,306.77,1.84
resting,medical,35.16,65.81,7.46,66.82,6.38,42.5,0.6,13.98,32.13,47.41,5.81,0.12,13.28,3.81,0.0
high_intensity_run,none,24.01,40.2,1.86,50.87,49.55,37.2,0.0,7.64,26.87,68.59,2.49,0.68,61.57,44.28,0.35
light_jog,cloth,147.31,246.57,3.08,12.14,20.91,50.4,0.3,19.55,26.25,69.35,3.94,0.392,59.98,108.66,0.23
resting,none,23.39,42.34,1.39,80.02,6.38,37.7,0.0,17.14,29.26,61.3,5.83,0.154,14.12,5.64,0.1
light_jog,cloth,36.11,49.42,2.9,18.57,23.16,67.3,0.3,5.54,21.31,82.05,0.75,0.898,43.03,39.42,0.25
resting,cloth,36.83,58.83,2.48,21.89,6.74,48.8,0.3,21.76,22.92,79.04,2.78,0.62,10.46,8.48,0.0
moderate_run,cloth,10.08,10.08,4.51,56.67,45.42,61.3,0.3,13.59,35.04,56.27,6.96,0.072,69.38,19.66,0.83
moderate_run,cloth,38.04,52.5,1.99,21.65,39.15,26.4,0.3,19.19,27.72,57.87,4.1,0.358,25.16,27.48,0.13
light_jog,n95,35.64,49.73,9.24,37.34,24.66,16.2,0.95,20.88,25.35,65.26,2.53,0.564,1.14,0.71,0.01
resting,cloth,81.36,128.94,8.4,20.9,7.29,71.6,0.3,18.68,28.03,57.73,4.32,0.313,38.64,29.7,0.19
light_jog,n95,77.71,111.53,6.79,54.62,24.53,51.6,0.95,1.17,20.3,91.28,0.73,0.93,5.95,4.92,0.01
moderate_run,none,24.84,47.56,1.57,89.88,41.28,19.9,0.0,21.72,24.34,69.78,3.59,0.576,44.89,20.41,0.17
resting,cloth,43.03,71.59,11.16,20.11,7.16,20.1,0.3,1.81,20.68,87.94,1.5,0.91,8.48,4.34,0.01
moderate_run,none,152.95,206.09,2.13,40.84,40.39,45.5,0.0,11.44,31.12,52.24,6.0,0.221,86.49,281.06,0.21
light_jog,cloth,30.28,40.67,2.74,15.38,30.53,58.7,0.3,21.53,23.68,77.63,3.82,0.55,41.71,37.97,0.33
light_jog,medical,100.69,146.06,5.69,176.75,26.82,23.8,0.6,0.52,20.02,86.09,1.99,0.839,39.3,25.74,0.07
moderate_run,n95,27.17,56.75,1.55,19.82,36.54,93.8,0.95,17.09,30.66,58.56,5.15,0.186,2.89,4.65,0.08
moderate_run,medical,35.0,52.52,9.81,72.88,41.18,63.0,0.6,1.28,20.21,86.09,1.06,0.917,76.98,36.31,0.91
resting,medical,37.48,63.49,6.0,51.1,6.56,74.4,0.6,21.45,26.33,79.51,3.99,0.536,21.51,7.31,0.02
light_jog,none,145.48,261.99,20.0,53.36,25.89,44.8,0.0,23.16,22.84,89.11,1.21,0.8,97.2,168.84,2.14
high_intensity_run,none,17.45,21.2,3.57,27.2,48.95,42.7,0.0,11.79,30.22,59.98,5.49,0.225,61.71,36.45,0.68
resting,n95,76.69,149.11,3.12,18.79,6.38,18.7,0.95,8.93,26.04,64.21,3.5,0.531,0.0,0.46,0.0
moderate_run,none,123.14,222.54,15.65,117.35,41.1,26.5,0.0,6.92,23.85,71.56,1.71,0.77,91.56,134.17,1.48
moderate_run,none,32.04,48.14,0.82,21.19,43.19,39.6,0.0,18.33,27.24,63.15,4.03,0.305,43.57,54.82,0.23
light_jog,n95,108.18,180.91,4.53,45.32,26.01,52.4,0.95,22.87,21.36,90.18,1.28,0.777,7.51,7.37,0.0
moderate_run,n95,72.02,115.88,2.7,29.61,42.73,47.2,0.95,18.0,27.84,60.78,4.38,0.269,3.07,7.26,0.14
high_intensity_run,medical,23.31,37.46,6.29,57.99,56.64,11.3,0.6,14.12,31.6,55.36,6.37,0.09,20.64,5.98,0.01
high_intensity_run,cloth,26.4,42.83,20.0,152.23,55.76,23.0,0.3,19.27,26.76,69.72,3.97,0.37,84.23,23.68,1.71
light_jog,n95,45.75,57.27,2.08,27.61,23.99,48.9,0.95,8.82,27.46,69.25,4.64,0.482,0.95,2.69,0.05
light_jog,none,40.66,72.59,6.0,35.18,26.63,53.2,0.0,14.69,31.65,57.39,6.05,0.098,68.54,57.54,0.75
light_jog,cloth,51.77,104.0,10.99,100.22,27.05,33.3,0.3,2.97,19.11,82.15,1.19,0.941,64.5,32.67,0.5
moderate_run,cloth,84.29,131.65,9.77,109.11,39.8,60.0,0.3,23.26,22.93,79.72,1.44,0.795,97.1,140.83,1.5
moderate_run,n95,39.43,53.93,4.79,46.58,39.63,59.5,0.95,1.94,20.48,88.19,2.17,0.88,6.32,4.65,0.0
light_jog,n95,37.51,64.4,6.86,49.13,28.18,120.4,0.95,3.67,19.91,91.23,0.98,0.946,18.02,6.36,0.07
light_jog,medical,43.82,92.1,1.53,79.13,24.96,42.8,0.6,18.6,27.08,68.47,4.94,0.277,25.5,18.74,0.12
high_intensity_run,none,75.06,106.86,14.52,17.58,55.33,32.6,0.0,1.65,18.26,87.74,0.3,0.966,92.39,135.26,2.38
resting,cloth,87.46,153.38,1.3,58.16,7.27,23.9,0.3,12.98,29.94,56.63,5.77,0.153,12.99,10.65,0.0
moderate_run,none,63.51,87.94,1.64,24.87,39.69,17.2,0.0,20.34,26.73,69.9,4.48,0.424,29.88,43.23,0.21
moderate_run,n95,95.9,188.64,3.31,55.85,37.37,58.1,0.95,4.56,22.42,80.81,1.95,0.878,10.46,10.41,0.04
light_jog,none,39.56,72.57,2.19,41.95,25.76,54.5,0.0,19.48,26.12,62.23,3.0,0.434,55.34,55.54,0.42
resting,none,35.05,50.96,3.99,25.04,6.98,18.6,0.0,11.78,32.65,54.41,4.97,0.252,6.52,4.56,0.02
light_jog,medical,43.23,48.83,3.26,62.13,28.68,58.3,0.6,2.88,20.9,86.13,2.03,0.898,37.73,28.92,0.28
high_intensity_run,cloth,42.59,84.37,1.46,26.15,58.47,46.2,0.3,14.59,32.17,56.23,6.02,0.101,58.38,80.58,0.24
resting,n95,67.62,114.64,1.82,92.75,6.67,35.5,0.95,0.03,21.81,87.91,1.16,0.856,2.68,0.8,0.03
light_jog,none,41.52,67.36,6.28,20.95,26.46,10.7,0.0,15.37,32.36,53.36,5.37,0.133,21.33,11.7,0.1
resting,n95,48.18,66.4,5.18,23.91,7.17,54.2,0.95,7.96,26.13,70.41,3.29,0.616,3.72,0.94,0.03
light_jog,none,38.19,66.11,1.1,35.46,27.62,100.9,0.0,16.97,29.99,55.5,6.13,0.133,73.37,106.38,0.3
moderate_run,none,105.14,157.52,4.25,31.57,38.32,25.9,0.0,14.66,31.78,45.16,5.54,0.124,66.21,104.33,0.4
light_jog,cloth,65.27,102.88,2.9,112.69,25.38,46.3,0.3,21.65,21.55,72.82,2.09,0.647,62.43,53.65,0.08
moderate_run,none,82.33,117.0,1.25,46.81,39.68,56.7,0.0,22.84,20.98,85.33,2.17,0.731,83.95,185.1,0.34
moderate_run,medical,67.35,105.66,1.42,42.03,40.19,10.0,0.6,9.19,30.0,63.91,3.64,0.503,13.13,10.83,0.04
high_intensity_run,none,48.92,89.46,7.28,21.65,51.11,23.3,0.0,21.25,23.08,70.55,2.13,0.613,69.9,58.21,0.83
resting,none,89.44,124.41,10.7,59.17,7.32,15.4,0.0,2.87,18.0,93.0,1.07,0.946,16.31,10.06,0.23
high_intensity_run,medical,50.82,76.87,5.47,20.95,56.84,100.5,0.6,20.33,26.57,78.33,3.31,0.482,84.33,116.15,1.14
moderate_run,none,19.82,35.84,1.73,31.54,44.11,10.0,0.0,17.3,30.19,63.13,4.64,0.221,15.92,8.74,0.12
light_jog,medical,43.37,75.22,5.69,28.93,24.98,35.4,0.6,0.12,21.08,87.56,1.58,0.84,25.58,15.35,0.25
high_intensity_run,medical,192.19,382.68,5.34,64.8,53.19,49.3,0.6,22.75,21.85,83.02,1.98,0.734,86.8,201.59,0.49
high_intensity_run,none,133.09,168.06,0.73,50.29,58.47,25.8,0.0,2.44,21.13,87.78,0.2,0.987,80.25,200.45,0.1
light_jog,n95,33.38,54.51,4.17,67.31,23.41,10.0,0.95,17.05,32.02,58.09,5.71,0.157,1.41,0.39,0.0
high_intensity_run,none,65.61,114.98,3.42,20.08,59.77,36.3,0.0,11.29,29.92,58.87,5.05,0.278,79.81,142.41,0.48
moderate_run,cloth,72.86,102.66,20.0,53.21,43.47,25.5,0.3,3.32,21.11,89.77,1.63,0.917,81.6,56.5,1.36
moderate_run,none,135.8,224.3,12.91,42.76,44.02,52.4,0.0,9.24,29.25,66.08,5.54,0.404,100.0,313.52,2.62
high_intensity_run,n95,41.69,64.93,2.9,34.35,56.66,63.5,0.95,10.67,29.17,45.3,5.07,0.319,10.64,7.5,0.0
moderate_run,medical,55.71,103.29,4.45,77.13,38.44,18.7,0.6,19.7,28.28,73.2,3.31,0.435,26.11,16.05,0.06
high_intensity_run,cloth,38.83,64.82,4.4,48.65,55.48,27.2,0.3,4.11,22.23,86.12,2.2,0.877,56.81,41.01,0.61
light_jog,n95,59.87,100.11,3.0,28.02,25.76,28.1,0.95,3.97,19.29,80.22,0.82,0.949,0.0,2.16,0.0
high_intensity_run,cloth,7.25,22.07,1.02,40.37,52.54,63.0,0.3,16.29,32.87,55.92,6.7,0.082,50.99,16.81,0.26
moderate_run,n95,56.36,84.6,2.03,116.44,44.27,43.3,0.95,19.61,25.18,69.39,3.47,0.42,15.02,5.4,0.0
light_jog,medical,115.93,157.36,2.97,34.08,26.16,19.2,0.6,4.79,20.71,77.11,1.26,0.904,19.3,23.35,0.08
moderate_run,n95,171.52,279.53,9.25,48.21,37.14,74.3,0.95,3.71,21.41,83.66,2.67,0.862,21.76,23.68,0.17
light_jog,n95,79.3,162.18,4.48,54.5,28.77,25.7,0.95,23.26,22.73,79.13,1.84,0.775,4.01,2.93,0.0
resting,n95,49.13,85.97,2.66,87.1,7.05,30.2,0.95,0.52,20.57,82.77,2.16,0.831,0.0,0.52,0.0
resting,none,34.74,41.49,2.22,72.63,6.39,22.3,0.0,22.28,21.88,82.38,2.08,0.694,9.63,4.95,0.0
light_jog,n95,37.67,74.81,4.54,44.37,23.34,45.3,0.95,9.15,27.46,62.18,4.18,0.479,4.54,1.99,0.06
resting,n95,24.96,41.22,3.35,40.9,7.83,33.3,0.95,1.18,19.68,87.96,0.2,0.956,0.6,0.33,0.03
light_jog,medical,53.83,82.12,1.93,38.24,28.65,86.6,0.6,1.03,21.2,90.37,1.69,0.877,49.55,53.45,0.24
moderate_run,none,28.87,41.21,2.04,65.23,43.23,43.7,0.0,23.57,20.69,82.74,1.72,0.801,65.35,54.48,0.34
moderate_run,n95,45.38,78.0,14.3,34.23,44.22,23.2,0.95,2.77,19.34,90.74,0.98,0.95,8.15,2.33,0.0
moderate_run,none,50.2,104.22,3.39,20.22,43.89,40.9,0.0,22.42,20.67,86.08,2.37,0.69,74.02,90.12,0.47
light_jog,cloth,78.74,131.16,8.96,45.64,26.11,93.5,0.3,3.33,19.65,90.3,1.17,0.94,89.53,134.59,1.29
high_intensity_run,cloth,15.53,23.61,0.84,25.69,56.45,17.8,0.3,12.23,31.23,56.29,5.17,0.217,19.34,10.9,0.0
moderate_run,none,51.26,79.55,9.28,40.65,41.73,54.2,0.0,4.54,19.92,87.58,1.75,0.888,92.35,115.9,1.87
light_jog,medical,71.63,108.87,5.5,54.2,26.47,10.8,0.6,19.46,24.75,69.05,3.74,0.396,8.9,8.17,0.02
light_jog,none,89.38,175.05,5.04,34.51,23.52,83.3,0.0,16.23,32.18,58.38,6.03,0.114,84.61,175.0,0.89
moderate_run,medical,59.7,114.73,1.31,44.11,42.34,30.7,0.6,0.24,19.42,81.43,1.09,0.87,29.3,31.02,0.0
light_jog,n95,163.1,320.89,3.05,17.89,27.92,22.8,0.95,18.12,27.27,61.18,4.4,0.274,3.72,5.19,0.07
moderate_run,cloth,70.56,105.15,1.77,30.27,39.34,90.3,0.3,19.02,29.41,66.98,3.81,0.36,87.93,175.54,0.42
high_intensity_run,medical,48.09,73.1,1.38,14.6,53.62,39.3,0.6,10.5,30.68,58.73,4.49,0.36,32.56,40.53,0.08
resting,none,109.65,181.91,0.92,26.91,7.27,40.2,0.0,20.7,26.14,83.28,2.73,0.54,21.71,32.03,0.0
resting,n95,47.52,63.89,1.95,32.26,6.64,31.0,0.95,2.6,20.68,87.01,1.29,0.934,1.91,0.49,0.0
high_intensity_run,n95,24.58,46.61,1.39,38.62,49.21,31.8,0.95,18.87,29.33,57.61,3.78,0.352,2.42,1.92,0.0
moderate_run,none,83.55,129.66,5.57,41.11,43.67,10.0,0.0,10.12,30.22,60.75,4.11,0.408,41.02,36.49,0.26
light_jog,medical,73.39,97.04,2.3,37.76,24.1,53.7,0.6,7.96,25.52,73.51,3.95,0.583,36.63,38.0,0.1
high_intensity_run,cloth,109.44,149.34,3.41,24.13,55.08,15.4,0.3,22.76,20.75,78.43,1.76,0.746,45.54,65.13,0.21
high_intensity_run,cloth,101.46,168.39,8.37,16.06,52.32,68.7,0.3,21.92,21.56,78.54,2.75,0.634,92.06,255.11,1.93
moderate_run,medical,183.62,248.88,3.79,101.42,44.09,20.1,0.6,21.64,23.33,77.21,2.33,0.634,47.19,64.95,0.07
moderate_run,cloth,22.14,29.37,2.12,26.23,42.73,42.4,0.3,20.94,23.22,74.15,2.55,0.568,39.35,28.1,0.12
light_jog,medical,34.43,66.06,3.37,30.06,24.52,27.8,0.6,17.18,29.08,55.5,4.14,0.241,19.53,9.39,0.19
resting,none,53.46,81.37,2.36,38.72,6.34,31.0,0.0,0.4,20.34,90.83,0.54,0.906,13.54,10.49,0.09
moderate_run,cloth,118.68,200.22,1.12,80.84,38.89,34.8,0.3,22.68,23.8,90.29,1.36,0.76,67.38,112.3,0.2
light_jog,n95,50.2,83.84,3.62,40.39,26.14,49.0,0.95,12.5,29.73,50.01,5.98,0.163,8.28,3.21,0.0
moderate_run,none,96.15,125.51,5.04,25.77,40.6,88.9,0.0,19.54,26.76,62.6,3.74,0.401,97.39,347.02,1.69
high_intensity_run,medical,77.46,142.48,3.65,72.38,55.48,30.5,0.6,3.7,19.08,84.5,0.63,0.964,52.54,52.42,0.18
resting,none,50.66,102.74,3.1,18.81,7.12,10.0,0.0,19.85,25.56,74.94,1.93,0.515,3.4,3.61,0.07
moderate_run,n95,84.11,126.54,2.72,43.23,42.43,78.3,0.95,7.29,26.01,72.28,3.32,0.664,16.95,13.97,0.17
light_jog,medical,54.9,73.12,9.34,6.45,24.92,58.4,0.6,19.61,25.6,69.62,4.28,0.379,43.69,31.98,0.62
high_intensity_run,cloth,78.62,143.94,4.95,61.24,56.98,19.5,0.3,4.66,21.08,80.17,2.16,0.864,61.19,61.26,0.36
light_jog,none,84.27,120.95,3.4,36.24,23.03,17.2,0.0,22.04,23.12,86.29,1.65,0.698,31.58,33.41,0.18
moderate_run,cloth,76.75,125.31,7.57,42.25,48.17,50.3,0.3,23.39,22.19,82.79,2.18,0.767,87.7,130.11,1.22
moderate_run,n95,69.32,110.88,5.65,67.34,39.09,45.3,0.95,13.43,31.28,53.19,6.31,0.109,11.94,6.14,0.06
moderate_run,cloth,65.2,100.87,5.55,32.83,40.65,101.3,0.3,4.27,22.54,81.73,1.77,0.895,97.5,187.89,1.5
moderate_run,cloth,56.48,104.99,6.67,27.61,41.81,54.0,0.3,20.39,24.85,68.27,2.88,0.508,76.02,89.31,0.9
moderate_run,medical,35.41,45.29,6.11,21.5,38.69,26.7,0.6,1.76,20.59,87.95,0.93,0.938,25.98,14.62,0.11
moderate_run,cloth,70.97,107.11,2.84,34.27,40.03,22.9,0.3,17.25,29.73,58.53,6.25,0.138,39.49,45.51,0.2
high_intensity_run,cloth,105.77,173.88,5.33,30.9,54.98,41.6,0.3,16.36,31.78,58.77,6.54,0.092,85.78,169.36,0.69
high_intensity_run,cloth,21.9,43.5,2.15,81.32,50.98,10.3,0.3,1.9,22.44,81.24,0.97,0.939,20.36,8.06,0.0
moderate_run,none,84.95,167.12,1.93,46.39,41.4,13.3,0.0,22.65,21.83,77.71,2.02,0.725,38.04,46.93,0.06
moderate_run,medical,59.14,80.52,5.86,64.18,34.72,18.0,0.6,0.72,20.31,84.25,0.2,0.938,22.94,14.75,0.25
resting,n95,56.92,78.65,2.54,70.78,7.98,26.2,0.95,2.22,19.49,88.45,1.73,0.907,3.42,0.6,0.0
high_intensity_run,n95,85.03,143.6,6.75,59.37,58.49,38.9,0.95,23.0,21.05,78.22,2.18,0.741,13.31,9.68,0.0
moderate_run,n95,56.07,84.99,4.44,43.27,42.05,56.1,0.95,6.96,23.55,74.45,3.04,0.701,10.7,6.61,0.0
moderate_run,cloth,70.53,112.95,15.56,63.21,34.44,80.9,0.3,21.76,23.31,75.43,2.03,0.658,100.0,137.59,2.77
resting,none,51.87,73.22,2.07,77.13,6.56,72.3,0.0,1.77,19.08,87.42,1.04,0.932,32.1,24.59,0.07
high_intensity_run,medical,119.82,172.36,6.25,73.63,61.11,66.0,0.6,20.25,24.71,68.09,4.21,0.431,93.71,193.31,0.83
moderate_run,n95,37.74,56.11,2.1,142.96,53.28,30.2,0.95,11.1,26.55,52.9,5.53,0.267,10.55,3.04,0.03
